"Id","survive"
"4501","0"
"4502","0"
"4503","0"
"4504","0"
"4505","1"
"4506","1"
"4507","1"
"4508","0"
"4509","1"
"4510","1"
"4511","1"
"4512","0"
"4513","0"
"4514","1"
"4515","0"
"4516","1"
"4517","0"
"4518","0"
"4519","0"
"4520","1"
"4521","1"
"4522","1"
"4523","0"
"4524","0"
"4525","1"
"4526","0"
"4527","0"
"4528","1"
"4529","0"
"4530","1"
"4531","1"
"4532","0"
"4533","0"
"4534","0"
"4535","0"
"4536","1"
"4537","0"
"4538","0"
"4539","0"
"4540","1"
"4541","0"
"4542","1"
"4543","1"
"4544","0"
"4545","0"
"4546","0"
"4547","0"
"4548","0"
"4549","0"
"4550","0"
"4551","0"
"4552","1"
"4553","0"
"4554","0"
"4555","0"
"4556","1"
"4557","0"
"4558","1"
"4559","1"
"4560","0"
"4561","0"
"4562","0"
"4563","0"
"4564","1"
"4565","0"
"4566","0"
"4567","1"
"4568","0"
"4569","1"
"4570","1"
"4571","0"
"4572","1"
"4573","1"
"4574","1"
"4575","0"
"4576","0"
"4577","1"
"4578","1"
"4579","0"
"4580","0"
"4581","1"
"4582","0"
"4583","0"
"4584","0"
"4585","0"
"4586","0"
"4587","1"
"4588","1"
"4589","0"
"4590","0"
"4591","0"
"4592","0"
"4593","0"
"4594","0"
"4595","1"
"4596","1"
"4597","1"
"4598","0"
"4599","1"
"4600","0"
"4601","0"
"4602","0"
"4603","0"
"4604","1"
"4605","0"
"4606","0"
"4607","1"
"4608","1"
"4609","0"
"4610","0"
"4611","1"
"4612","1"
"4613","0"
"4614","0"
"4615","0"
"4616","1"
"4617","1"
"4618","0"
"4619","1"
"4620","0"
"4621","0"
"4622","0"
"4623","1"
"4624","0"
"4625","0"
"4626","1"
"4627","0"
"4628","0"
"4629","1"
"4630","0"
"4631","1"
"4632","0"
"4633","0"
"4634","0"
"4635","0"
"4636","0"
"4637","0"
"4638","0"
"4639","0"
"4640","1"
"4641","0"
"4642","0"
"4643","1"
"4644","0"
"4645","0"
"4646","1"
"4647","1"
"4648","0"
"4649","0"
"4650","1"
"4651","1"
"4652","1"
"4653","1"
"4654","0"
"4655","0"
"4656","0"
"4657","0"
"4658","1"
"4659","0"
"4660","0"
"4661","0"
"4662","1"
"4663","0"
"4664","0"
"4665","0"
"4666","1"
"4667","1"
"4668","1"
"4669","1"
"4670","0"
"4671","1"
"4672","1"
"4673","0"
"4674","1"
"4675","1"
"4676","0"
"4677","1"
"4678","1"
"4679","0"
"4680","1"
"4681","0"
"4682","0"
"4683","0"
"4684","1"
"4685","1"
"4686","1"
"4687","1"
"4688","0"
"4689","1"
"4690","0"
"4691","0"
"4692","1"
"4693","1"
"4694","0"
"4695","0"
"4696","0"
"4697","0"
"4698","1"
"4699","0"
"4700","1"
"4701","0"
"4702","0"
"4703","0"
"4704","1"
"4705","0"
"4706","0"
"4707","1"
"4708","0"
"4709","1"
"4710","1"
"4711","0"
"4712","0"
"4713","0"
"4714","0"
"4715","1"
"4716","1"
"4717","0"
"4718","1"
"4719","1"
"4720","0"
"4721","1"
"4722","0"
"4723","1"
"4724","0"
"4725","0"
"4726","0"
"4727","0"
"4728","0"
"4729","1"
"4730","0"
"4731","0"
"4732","0"
"4733","0"
"4734","0"
"4735","1"
"4736","0"
"4737","1"
"4738","0"
"4739","1"
"4740","0"
"4741","0"
"4742","1"
"4743","1"
"4744","0"
"4745","0"
